Año,Trimestre,Base Monetaria ,M1,M2,Inflacion,tasa_interes,Tipo_cambio
1993,T1,36179083.0,280291595.2358478,671097780.6928853,1.13,1.13,3.107135
1993,T2,35794909.333333336,290451669.40029824,701659355.3016076,0.5133333333333333,0.5133333333333333,3.1133936507936513
1993,T3,35704829.666666664,300287750.6938093,732176548.3132895,0.6133333333333334,0.6133333333333334,3.117846153846154
1993,T4,40858507.333333336,309826038.08496904,762677765.8506602,0.43999999999999995,0.43999999999999995,3.121773015873016
1994,T1,43088901.0,319092730.5423655,793191414.0364491,0.7466666666666667,0.7466666666666667,3.227980357142857
1994,T2,42620820.333333336,328114027.0345867,823745898.9933858,0.5733333333333334,0.5733333333333334,3.3412640624999996
1994,T3,44354325.666666664,336916126.5302209,854369626.8441993,0.5533333333333333,0.5533333333333333,3.3723590909090913
1994,T4,50285397.666666664,345525227.99785596,885091003.711619,0.6033333333333334,0.6033333333333334,3.594753125000001
1995,T1,49931768.0,353967530.40608025,915938435.7183744,4.333333333333333,4.333333333333333,6.174450819672131
1995,T2,46928289.0,362269232.7234815,946940328.9871947,5.31,5.31,6.222785483870966
1995,T3,47661039.666666664,370456533.918648,978125089.6408094,2.0966666666666667,2.0966666666666667,6.32923076923077
1995,T4,56306090.666666664,378555632.9601677,1009521123.8019476,2.1999999999999997,2.1999999999999997,6.9815532258064525
1996,T1,58420443.333333336,386592728.81662893,1041156837.5933388,2.646666666666667,2.646666666666667,7.538175806451615
1996,T2,59761263.0,394594020.45661944,1073060637.1377124,2.0966666666666667,2.0966666666666667,7.533509523809522
1996,T3,61368429.0,402585706.8487275,1105260928.5577974,1.5333333333333332,1.5333333333333332,7.561931746031748
1996,T4,72508340.66666667,410593986.9615412,1137786117.9763236,1.4900000000000002,1.4900000000000002,7.759687499999998
1997,T1,77412426.0,418645059.7636485,1170664611.51602,1.84,1.84,7.874796666666667
1997,T2,79659966.66666667,426765124.2236375,1203924815.299616,1.2066666666666668,1.2066666666666668,7.929075806451616
1997,T3,82040396.33333333,434980379.3100963,1237595135.4498413,1.0166666666666666,1.0166666666666666,7.83913492063492
1997,T4,94911899.0,443317023.9916131,1271703978.0894248,1.0533333333333335,1.0533333333333335,8.020364062500002
1998,T1,97558762.0,451801257.2367757,1306279749.341096,1.6500000000000001,1.6500000000000001,8.716518032786887
1998,T2,99746162.33333333,460459278.01417255,1341350855.3275843,1.133333333333333,1.133333333333333,8.81833225806452
1998,T3,101330002.0,469317285.29239136,1376945702.1716187,1.2433333333333334,1.2433333333333334,9.383224615384616
1998,T4,115282460.0,478401478.04002047,1413092695.995929,1.3666666666666665,1.3666666666666665,9.678614516129032
1999,T1,121674359.0,487738055.22564775,1449820242.9232445,1.9400000000000002,1.9400000000000002,9.83089827586207
1999,T2,120802186.66666667,497353215.8178614,1487156749.0762942,0.9833333333333334,0.9833333333333334,9.473722222222225
1999,T3,126745385.66666667,507273158.7852495,1525130620.5778077,0.8799999999999999,0.8799999999999999,9.429731343283581
1999,T4,154349461.66666666,517524083.0964001,1563770263.5505142,0.7233333333333333,0.7233333333333333,9.509056250000002
2000,T1,153427718.66666666,528132187.71990126,1603104084.1171434,1.0133333333333334,1.0133333333333334,9.39601166666667
2000,T2,160704361.0,539123671.6243411,1643160488.400424,0.4366666666666667,0.4366666666666667,9.561662903225809
2000,T3,160431988.66666666,550524733.7783077,1683967882.5230858,0.5066666666666667,0.5066666666666667,9.386230769230767
2000,T4,182292749.66666666,562361573.1503891,1725554672.607858,0.5733333333333334,0.5733333333333334,9.484399999999996
2001,T1,178111023.33333334,539219165.4066666,1795785271.6833334,0.6966666666666667,0.6966666666666667,9.571849180327868
2001,T2,177858166.66666666,512166587.67,1829938987.11,0.38666666666666666,0.38666666666666666,9.2178703125
2001,T3,179830516.66666666,537755276.9933333,1905903474.1933334,0.41333333333333333,0.41333333333333333,9.297946153846155
2001,T4,200288302.0,588788288.6333333,1998618032.0033333,0.24333333333333332,0.24333333333333332,9.265779032258067
2002,T1,208478320.0,647183790.0733333,2030587489.4966667,0.5399999999999999,0.5399999999999999,9.325613559322035
2002,T2,207503499.66666666,635072218.1833334,2039047063.0133333,0.22333333333333336,0.22333333333333336,9.604913846153844
2002,T3,210361518.66666666,650509309.87,2069101004.17,0.3766666666666667,0.3766666666666667,9.78283333333333
2002,T4,235111768.0,661870488.6633333,2084919456.3566666,0.21,0.21,9.948017187499998
2003,T1,241807253.0,731111649.9233333,2189665113.906667,0.44999999999999996,0.44999999999999996,10.801006349206348
2003,T2,243368171.66666666,709718352.2433333,2170574464.7133336,0.24000000000000002,0.24000000000000002,10.566408196721309
2003,T3,241217384.33333334,723424707.61,2172758542.346667,0.32666666666666666,0.32666666666666666,10.723207936507933
2003,T4,270514123.6666667,740123482.4133333,2193181160.81,0.25333333333333335,0.25333333333333335,11.0633015625
2004,T1,273121882.0,824607976.5299999,2318872180.9300003,0.4000000000000001,0.4000000000000001,11.107178125000003
